id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type
10310874,Art Inspired One Bedroom Apt in Bedford Stuyvesant,36753915,Ozzy,Brooklyn,Bedford-Stuyvesant,Entire home/apt
10311049,Spacious Sunlit Room in Manhattan 18m Times Square,6057887,Mutaz,Manhattan,Washington Heights,Private room
10314305,Big and quiet room!,11095923,Tobias,Brooklyn,Flatbush,Private room
10314411,Ultra-Modern 6-bedroom House (Great for Groups),4393578,Jack,Manhattan,Chelsea,Entire home/apt
10316551,Brooklyn Queen Bed,33213436,Alec,Brooklyn,Gowanus,Private room
10318675,Minimalist Urban Jungle with Exposed Brick,13031745,Madeline,Brooklyn,Williamsburg,Private room
10319419,Comfy Queen bedroom near East Village LES,4685913,Paul,Manhattan,East Village,Private room
10319699,Cool Private Apt in Manhattan w/ Comfy Queen Bed!,40501530,Dani,Manhattan,Harlem,Entire home/apt
10322621,Luxury High-Rise Manhattan Apt,20193547,Rosa,Manhattan,Chelsea,Private room
10329264,Artist's Nook,53153865,Grant,Brooklyn,Brooklyn Heights,Entire home/apt
10332161,A large sunny bedroom,53169195,Ehssan,Bronx,Fordham,Private room
10332393,Cute and clean apt in East Harlem!,5744448,Katrina,Manhattan,East Harlem,Entire home/apt
10334395,Private Room in Brooklyn Artist Apt,10197136,Kait,Brooklyn,Bedford-Stuyvesant,Private room
10336440,"Sunny, spacious Clinton Hill 1.5 BR",283636,Nathan & Ximena,Brooklyn,Clinton Hill,Entire home/apt
10337217,NYC Sweetheart Studio - Upper East,15310997,Mor,Manhattan,Upper East Side,Entire home/apt
10338696,Studio Apartment in Safe Neighborhood.,50742613,Reed,Bronx,Pelham Bay,Entire home/apt
10338839,Beautiful Executive 1 bedroom Suite,53206623,Wayde,Queens,Edgemere,Entire home/apt
10339291,New Modern Industrial Studio Apt,53209258,Michelle,Brooklyn,Bushwick,Private room
10339835,*Chic Oasis in Trendy Union Square*,3599608,Angella,Manhattan,Gramercy,Entire home/apt
10340695,Spacious bedroom near Prospect Park,53217509,Kelsey,Brooklyn,Crown Heights,Private room
10340705,Luxurious Private Room in Harlem,53216788,Jason,Manhattan,Harlem,Private room
10340745,"Cozy, Renovated, 1BD/1BA Manhattan Apt",8292025,Eric,Manhattan,East Village,Entire home/apt
10340849,Executive retreat in Midtown West,5836431,Darryl,Manhattan,Hell's Kitchen,Entire home/apt
10340994,1 room in 2 bedroom apartment,50828435,Madonna,Brooklyn,Bay Ridge,Private room
10341003,"Clean and spacious,grnd floor apt",53218990,Samuel,Manhattan,Harlem,Entire home/apt
10341262,Authentic 2BR in UES 30 days MIN,23772724,Elem,Manhattan,Upper East Side,Entire home/apt
10342448,Heart Of Hell's Kitchen,53228755,Kodchakorn,Manhattan,Hell's Kitchen,Entire home/apt
10342806,Cozy Washington Heights Bedroom,48370755,Sheldon,Manhattan,Washington Heights,Private room
10343320,"UWS 1 bedroom, tree-lined street between 2 parks!",21359759,Kristen,Manhattan,Upper West Side,Entire home/apt
10343542,student friendly and cozy in Brooklyn!,13400096,Ron,Brooklyn,Crown Heights,Private room
10343638,Sunlit & Spacious 2 Bedroom Brooklyn Apt,17929902,Jesse & Rotem,Brooklyn,Bedford-Stuyvesant,Entire home/apt
10346503,Beautiful UWS Apt with Balcony,1288080,Jessica,Manhattan,Upper West Side,Entire home/apt
10350120,Nice Suite with Kitchen,53268392,Crystal,Manhattan,Upper West Side,Shared room
10351249,Spacious 2 Bedroom Lower East Side,53281880,Sandra,Manhattan,Chinatown,Entire home/apt
10351593,Ed's Place,53274087,Edgar,Manhattan,Harlem,Private room
10352280,Spacious and Well-Lit One Bedroom,18471568,Alex,Manhattan,Upper East Side,Entire home/apt
10353094,Clean room for rent in Park Slope,53284346,Steven,Brooklyn,Park Slope,Private room
10354038,Quaint place in seaside Red  Hook,22423634,Peter,Brooklyn,Red Hook,Entire home/apt
10355146,Brooklyn's Finest,3530446,Maurice,Brooklyn,Crown Heights,Entire home/apt
10355806,Sunny & Bright Private Room,28340799,Steph,Brooklyn,Bedford-Stuyvesant,Private room
10356093,"Top Floor, Historic Brownstown",2321360,David,Brooklyn,Bedford-Stuyvesant,Entire home/apt
10357730,Live like a local in Astoria Queens,16823940,Missy,Queens,Ditmars Steinway,Private room
10358093,Entire nice 2 bedroom Apt with Balcony in Brooklyn,3609048,Ken,Brooklyn,Crown Heights,Entire home/apt
10358108,Cozy modern room in the heart of NYC!,53308963,Aj,Manhattan,Chinatown,Private room
10359702,Private room with a bathroom,53319402,Yauheniya,Queens,Astoria,Private room
10360144,Live like a local in NYC! Next to Ditmars subway,16823940,Missy,Queens,Ditmars Steinway,Private room
10360180,Seconds to the City!!!,53321966,Robert,Brooklyn,Bushwick,Entire home/apt
10361885,Dreamy Brownstone Brooklyn Duplex,53330133,Deirdre,Brooklyn,Carroll Gardens,Entire home/apt
